id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
31771,ZWKL,medium_airport,Korla Airport,41.69779968,86.12889862,,AS,CN,CN-65,Korla,1,ZWKL,KRL,,,http://en.wikipedia.org/wiki/Korla_Airport,,800,2008-07-14T08:45:12+00:00
31908,ZUMY,medium_airport,Mianyang Airport,31.42810059,104.7409973,,AS,CN,CN-51,Mianyang,1,ZUMY,MIG,,,http://en.wikipedia.org/wiki/Mianyang_Airport,,800,2008-07-14T08:45:12+00:00
27240,ZYMD,medium_airport,Mudanjiang Hailang International Airport,44.52410126,129.5690002,883,AS,CN,CN-23,Mudanjiang,1,ZYMD,MDG,,,http://en.wikipedia.org/wiki/Mudanjiang_Airport,Mudanjiang,800,2010-09-02T14:52:32+00:00
31876,ZUNZ,medium_airport,Nyingchi Airport,29.30330086,94.33529663,9675,AS,CN,CN-54,Nyingchi,1,ZUNZ,LZY,,,http://en.wikipedia.org/wiki/Nyingchi_Airport,"Linzhi, Kang Ko",800,2009-04-18T14:32:48+00:00
31684,ZWCM,medium_airport,Qiemo Yudu Airport,38.233611,85.465556,,AS,CN,CN-65,Qiemo,1,ZWCM,IQM,,,https://en.wikipedia.org/wiki/Qiemo_Yudu_Airport,"Cherchen, Qarqan",800,2018-04-30T08:25:28+00:00
27241,ZYQQ,medium_airport,Qiqihar Sanjiazi Airport,47.23960114,123.9179993,477,AS,CN,CN-23,Qiqihar,1,ZYQQ,NDG,,,http://en.wikipedia.org/wiki/Qiqihar_Airport,,800,2008-06-13T14:30:04+00:00
32440,ZBTL,medium_airport,Tongliao Airport,43.556702,122.199997,2395,AS,CN,CN-15,Tongliao,1,ZBTL,TGO,,,http://en.wikipedia.org/wiki/Tongliao_Airport,,800,2016-06-02T08:54:19+00:00
32700,ZBXH,medium_airport,Xilinhot Airport,43.91559982,115.9639969,,AS,CN,CN-15,Xilinhot,1,ZBXH,XIL,,,http://en.wikipedia.org/wiki/Xilinhot_Airport,,800,2008-07-14T08:45:12+00:00
27244,ZYYJ,medium_airport,Yanji Chaoyangchuan Airport,42.88280106,129.451004,624,AS,CN,CN-22,Yanji,1,ZYYJ,YNJ,,,http://en.wikipedia.org/wiki/Yanji_Chaoyangchuan_Airport,,800,2010-08-30T12:43:36+00:00
32743,ZGZJ,medium_airport,Zhanjiang Airport,21.214399,110.358002,125,AS,CN,CN-44,Zhanjiang,1,ZGZJ,ZHA,,,http://en.wikipedia.org/wiki/Zhanjiang_Airport,,800,2016-06-02T08:57:37+00:00
30632,ZLAK,small_airport,Ankang Wulipu Airport,32.708099,108.931,860,AS,CN,CN-61,Ankang,1,ZLAK,AKA,,,https://en.wikipedia.org/wiki/Ankang_Wulipu_Airport,,450,2016-05-31T09:00:53+00:00
30708,ZGBH,small_airport,Beihai Airport,21.5394,109.293999,,AS,CN,CN-45,Beihai,1,ZGBH,BHY,,,https://en.wikipedia.org/wiki/Beihai_Fucheng_Airport,,450,2016-05-31T08:37:20+00:00
30825,ZGCD,medium_airport,Changde Airport,28.91889954,111.6399994,128,AS,CN,CN-43,Changde,1,ZGCD,CGD,,,http://en.wikipedia.org/wiki/Changde_Taohuayuan_Airport,,450,2012-01-15T14:13:24+00:00
30830,ZBCZ,small_airport,Changzhi Airport,36.247501,113.125999,,AS,CN,CN-14,Changzhi,1,ZBCZ,CIH,,,https://en.wikipedia.org/wiki/Changzhi_Wangcun_Airport,,450,2016-05-31T08:36:06+00:00
35307,ZUDX,small_airport,Dachuan Airport,31.1302,107.4295,,AS,CN,CN-51,Dazhou,1,ZUDX,DAX,,,http://en.wikipedia.org/wiki/Daxian_Airport,Daxian,450,2011-10-06T07:46:16+00:00
31006,ZHES,small_airport,Enshi Airport,30.32029915,109.4850006,1605,AS,CN,CN-42,Enshi,1,ZHES,ENH,,,http://en.wikipedia.org/wiki/Enshi_Xujiaping_Airport,,450,2012-01-15T13:51:34+00:00
31769,ZSGZ,small_airport,Ganzhou Airport,25.853333,114.778889,387,AS,CN,CN-36,Ganzhou,1,ZSGZ,KOW,,,http://en.wikipedia.org/wiki/Ganzhou_Huangjin_Airport,,450,2015-01-21T12:39:43+00:00
35308,ZLGM,medium_airport,Golmud Airport,36.4006,94.786102,9334,AS,CN,CN-63,Golmud,1,ZLGM,GOQ,,,http://en.wikipedia.org/wiki/Golmud_Airport,,450,2016-06-02T09:00:31+00:00
31659,ZLHZ,small_airport,Hanzhong Chenggu Airport,33.134136,107.206014,,AS,CN,CN-61,Hanzhong,1,ZLHZ,HZG,,,https://en.wikipedia.org/wiki/Hanzhong_Chenggu_Airport,,450,2017-06-15T10:23:17+00:00
31695,ZSJD,medium_airport,Jingdezhen Airport,29.33860016,117.1760025,112,AS,CN,CN-36,Jingdezhen,1,ZSJD,JDZ,,,http://en.wikipedia.org/wiki/Jingdezhen_Luojia_Airport,Fouliang Air Base,450,2012-01-15T13:46:55+00:00
35309,ZSJJ,small_airport,Jiujiang Lushan Airport,29.476944,115.801111,,AS,CN,CN-36,Jiujiang,1,ZSJJ,JIU,,,http://en.wikipedia.org/wiki/Jiujiang_Lushan_Airport,,450,2011-10-06T07:15:29+00:00
35310,ZWKM,small_airport,Karamay Airport,45.46655,84.9527,,AS,CN,CN-65,Karamay,1,ZWKM,KRY,,,http://en.wikipedia.org/wiki/Karamay_Airport,,450,2011-10-06T11:49:35+00:00
31731,ZWKC,small_airport,Kuqa Airport,41.677856,82.872917,3524,AS,CN,CN-65,Kuqa,1,ZWKC,KCA,,,http://en.wikipedia.org/wiki/Kuqa_Airport,Kucha,450,2017-07-10T06:00:10+00:00
35311,ZLAN,closed,Lanzhou City Airport,36.033333,103.86667,5040,AS,CN,CN-62,Lanzhou,0,ZLAN,,,,,LHW,450,2013-05-23T00:31:48+00:00
31871,ZSLY,small_airport,Shubuling Airport,35.04610062,118.4120026,,AS,CN,CN-37,Linyi,1,ZSLY,LYI,,,http://en.wikipedia.org/wiki/Linyi_Airport,,450,2008-07-14T08:45:12+00:00
31862,ZPLX,medium_airport,Mangshi Airport,24.4011,98.5317,2890,AS,CN,CN-53,Luxi,1,ZPMS,LUM,,,,,450,2016-05-27T20:33:07+00:00
35313,ZULZ,small_airport,Luzhou Airport,28.85219955,105.3929977,,AS,CN,CN-51,Luzhou,1,ZULZ,LZO,,,http://en.wikipedia.org/wiki/Luzhou_Airport,,450,2008-07-14T08:45:12+00:00
